student_id,final_score,max_points,submitted_at,run_id
PY102001000,1,1,2026-02-21T17:12:09-06:00,22266194066
PY102001012,1,1,2026-02-22T08:52:13-06:00,22279369229
PY102001022,1,1,2026-02-22T08:52:15-06:00,22279369174
PY102001030,1,1,2026-02-22T09:35:28-06:00,22280060451
